,index,value
1307,1307,"[-0.18775388784706593, 0.12141986982896924, 0.13849545034463517, -0.31476782634854317, 0.12618472892791033, 0.255905068712309, -0.006963715888559818, -0.05764577770605683, 0.09972968604415655, -0.03919987101107836, -0.06882504094392061, 0.002398789394646883, 0.1594796923454851, -0.03382516617421061, -0.05364608240779489, -0.12785540148615837, 0.07971643190830946, -0.005561658705119044, 0.03548062313348055, -0.07363483519293368, -0.4259300269186497, -0.3620963729918003, -0.05099179700482637, 0.14858821779489517, -0.1339312307536602, -0.18990106787532568, -0.2041459046304226, 0.29027271270751953, 0.08153882808983326, 0.014274303568527102, -0.02376923430711031, 0.04729972966015339, -0.1485788505524397, -0.18394059129059315, 0.020594559609889984, -0.029779672884615138, -0.10662461072206497, -0.18298758286982775, -0.0032997717207763344, 0.029165554326027632, -0.23269005864858627, -0.07114841300062835, 0.0975338090211153, 0.5420275181531906, -0.00011561118299141526, -0.2562525272369385, -0.1974427392706275, -0.14745947439223528, 0.004557867883704603, 0.11159170791506767]"
1308,1308,"[-0.17905940674245358, 0.11521912179887295, 0.12278814427554607, -0.3189481906592846, 0.09542818926274776, 0.22761438973248005, -0.012453717645257711, -0.06601186003535986, 0.1001440929248929, -0.02952315518632531, -0.07310937810689211, -0.010794648027513176, 0.1518377467582468, -0.04752319073304534, -0.07753379689529538, -0.10472421254962683, 0.0968998959288001, -0.03750835079699755, 0.052683267276734114, -0.05859373928979039, -0.4462597891688347, -0.3572303280234337, -0.07146438769996166, 0.13898273557424545, -0.10798805207014084, -0.16122837364673615, -0.20191647112369537, 0.27674929052591324, 0.05256710108369589, 0.014186557789798826, -0.007996538653969765, 0.04449403611943126, -0.14608478266745806, -0.1796724796295166, 0.03506208281032741, -0.02625481276481878, -0.11465291026979685, -0.17684228718280792, 0.014489160384982824, 0.02093036426231265, -0.25520236045122147, -0.06476225331425667, 0.11070283595472574, 0.5133362673223019, 0.010167415486648679, -0.21389480866491795, -0.21929081715643406, -0.16630053240805864, -0.011603308783378452, 0.1333879940211773]"
1309,1309,"[-0.18095087073743343, 0.12436253856867552, 0.11102598533034325, -0.3337986320257187, 0.10563442017883062, 0.2507284761813935, -0.008127386681735516, -0.09120715456083417, 0.12707145512104034, -0.003381465852726251, -0.07186024822294712, -0.004090229020221159, 0.1712145700585097, -0.04812851152382791, -0.07832316146232188, -0.12521596066653728, 0.08357665501534939, -0.032717752968892455, 0.06696340558119118, -0.060381763614714146, -0.4515560045838356, -0.3450763449072838, -0.0823556799441576, 0.11258359625935555, -0.116737543605268, -0.1616571294143796, -0.2195470780134201, 0.2820220235735178, 0.05170814227312803, 0.01051558688050136, -0.027122453786432743, 0.06997690757270902, -0.12115087732672691, -0.16476518474519253, 0.047289006412029266, -0.02919304090028163, -0.11162705952301621, -0.17645124718546867, 0.004117378091905266, 0.0024659514892846346, -0.2644758094102144, -0.0547535540536046, 0.10653159255161881, 0.5314015001058578, -8.617970161139965e-05, -0.22286914475262165, -0.230914156883955, -0.17608560528606176, -0.03293189447140321, 0.09515128377825022]"
1310,1310,"[-0.20800643414258957, 0.12658843863755465, 0.14053482748568058, -0.3310553915798664, 0.13312972150743008, 0.2515814434736967, -0.0023908913135528564, -0.06474705366417766, 0.09607961215078831, -0.02755847666412592, -0.08553837053477764, -0.0038336007855832577, 0.1406060941517353, -0.05118208218482323, -0.0815730607137084, -0.13010912016034126, 0.07955595385283232, 0.00037479703314602375, 0.018052822910249233, -0.05947268847376108, -0.4574238657951355, -0.3893032744526863, -0.07530622323974967, 0.1431180164217949, -0.1426470000296831, -0.20525958202779293, -0.18999926932156086, 0.29645366966724396, 0.0619068518280983, 0.012688049260759726, -0.025612346827983856, 0.05018986389040947, -0.14468439295887947, -0.16944216564297676, 0.013044067658483982, -0.007416235166601837, -0.1155052026733756, -0.19264927692711353, 0.001236230251379311, 0.03686124039813876, -0.23095661588013172, -0.06906475964933634, 0.1038778992369771, 0.540231391787529, 0.012694086646661162, -0.24722271785140038, -0.20758583955466747, -0.14820214081555605, -0.020108255848754197, 0.16375927813351154]"
1311,1311,"[-0.20507456734776497, 0.13177110254764557, 0.12508953921496868, -0.3254550099372864, 0.12441490031778812, 0.2546990537084639, -0.011463205330073833, -0.08401243574917316, 0.09756010677665472, -0.014633460436016321, -0.10231063538230956, -0.009332559304311872, 0.1444859215989709, -0.039914526510983706, -0.057217215187847614, -0.11986791901290417, 0.07360564451664686, -0.044236424029804766, 0.041480783838778734, -0.06314892548834905, -0.45321745052933693, -0.38507888838648796, -0.09561588149517775, 0.12353245355188847, -0.12628899421542883, -0.18010404706001282, -0.22352192178368568, 0.28329282626509666, 0.08313909359276295, 0.00022650999017059803, -0.0354406418337021, 0.06274080916773528, -0.11488047242164612, -0.14432583283632994, 0.04123170979437418, -0.0175632587634027, -0.11790709011256695, -0.18924159556627274, -0.0004559955559670925, 0.04573400691151619, -0.22288648039102554, -0.06927858712151647, 0.11624698899686337, 0.5789791122078896, 0.0008705903310328722, -0.25611575320363045, -0.22764082625508308, -0.15518267080187798, -0.019203473581001163, 0.1159078748896718]"
1312,1312,"[-0.18909682147204876, 0.11467887787148356, 0.10703118468518369, -0.3433656170964241, 0.11613566614687443, 0.29883074201643467, 0.0071958445478230715, -0.08246764168143272, 0.10916553065180779, -0.027286091644782573, -0.05579955596476793, -0.008621998713351786, 0.18910278379917145, -0.07752062566578388, -0.06609818711876869, -0.11952176320482977, 0.07262946851551533, -0.03114527987781912, 0.04484343063086271, -0.06629442959092557, -0.4902861714363098, -0.3793214336037636, -0.08176067029125988, 0.1486527994275093, -0.1453988067805767, -0.20106090791523457, -0.21400818601250648, 0.28619319945573807, 0.04466101806610823, 0.006794197979616001, -0.005038774572312832, 0.04532814119011164, -0.14257327280938625, -0.185722503811121, 0.030739648267626762, -0.007391913793981075, -0.10650034993886948, -0.20023442059755325, 0.0057112247159238905, 0.026985904201865196, -0.28049782663583755, -0.06537876557558775, 0.0973276263102889, 0.5701972767710686, 0.008984359679743648, -0.2547777369618416, -0.21594768203794956, -0.16457324381917715, -0.010633601574227214, 0.10991198290139437]"
1313,1313,"[-0.16791296750307083, 0.1190847298130393, 0.12791014183312654, -0.3053686637431383, 0.11606467515230179, 0.22217249358072877, -0.01311924634501338, -0.05562474252656102, 0.08755133207887411, -0.03211677726358175, -0.08484086161479354, -0.0006693937175441533, 0.13690318632870913, -0.04900753760011867, -0.06807652022689581, -0.12426909897476435, 0.06119429413229227, -0.039353171130642295, 0.02664816752076149, -0.05229418606904801, -0.43081578612327576, -0.3422559965401888, -0.04831837024539709, 0.13774993363767862, -0.12671608850359917, -0.18176201917231083, -0.16690257284790277, 0.2606997415423393, 0.06356380227953196, 0.016718703089281917, -0.012463615275919437, 0.04848914174363017, -0.137194880284369, -0.17511311266571283, 0.012326218304224312, -0.01323440985288471, -0.10262562800198793, -0.17488430254161358, 0.02723131445236504, 0.036688641645014286, -0.2184461671859026, -0.0467473273165524, 0.08322289260104299, 0.5063179694116116, 0.000821261084638536, -0.21964642964303493, -0.185771269723773, -0.1333959922194481, -5.855745985172689e-05, 0.13361311331391335]"
1314,1314,"[-0.19648443721234798, 0.13814701698720455, 0.1480871404055506, -0.32900748029351234, 0.1330372393131256, 0.2683395261410624, -0.006720221601426601, -0.08674490510020405, 0.11815755348652601, 0.0046369293704628944, -0.07859434932470322, 0.008983255596831441, 0.16514092404395342, -0.04590302286669612, -0.07900971453636885, -0.12964748870581388, 0.06946700299158692, -0.04732309962855652, 0.0541499350219965, -0.05062685441225767, -0.4689945690333843, -0.36315032467246056, -0.06654878938570619, 0.12151798978447914, -0.14055454172194004, -0.17604082636535168, -0.22047600895166397, 0.27873214334249496, 0.09643543558195233, 0.002211723942309618, -0.004793734638951719, 0.07405538531020284, -0.1183862891048193, -0.17066883854568005, 0.030133175663650036, -0.04289584839716554, -0.14168493077158928, -0.20176484063267708, 0.009445827570743859, 0.01125042513012886, -0.2378044482320547, -0.044244854245334864, 0.12087326589971781, 0.5746545791625977, 0.009951473330147564, -0.22552653029561043, -0.21559164486825466, -0.18316654860973358, -0.029132391791790724, 0.1182048749178648]"
1315,1315,"[-0.17837825138121843, 0.1070505091920495, 0.13167088385671377, -0.3060797303915024, 0.14280957262963057, 0.2393125486560166, -0.015104363672435284, -0.05828785803169012, 0.07045250968076289, -0.017306568566709757, -0.08889228757470846, 0.004170836764387786, 0.14278656896203756, -0.024868788314051926, -0.045932393753901124, -0.13429842703044415, 0.08247971069067717, -0.019262121117208153, 0.03965408820658922, -0.06988567486405373, -0.40653347596526146, -0.37181420624256134, -0.06466134637594223, 0.1350303366780281, -0.11791578866541386, -0.18915182165801525, -0.19056974351406097, 0.29443830251693726, 0.08309884567279369, 0.007534572490840219, -0.017033814685419202, 0.03444528020918369, -0.14194113947451115, -0.1499652313068509, 0.03067363565787673, -0.04224466755113099, -0.1143562279175967, -0.17867321893572807, 0.016015393193811178, 0.040555897168815136, -0.19517301488667727, -0.07139309542253613, 0.10323023470118642, 0.5387342199683189, -0.0007272306829690933, -0.2395257968455553, -0.203235799446702, -0.12573486054316163, -0.004708850174210966, 0.10964608192443848]"
1316,1316,"[-0.1887470707297325, 0.11743182875216007, 0.14347047545015812, -0.2818280626088381, 0.1242291796952486, 0.23686515539884567, -0.014143215492367744, -0.055107020860305056, 0.11094916029833257, -0.008366207359358668, -0.06131996354088187, -0.019579516374506056, 0.14248210610821843, -0.04566429479746148, -0.06007410539314151, -0.11785234417766333, 0.07774803740903735, -0.017632656192290597, 0.014055354287847877, -0.06443443230818957, -0.4038598909974098, -0.3453897498548031, -0.052352842874825, 0.12145108543336391, -0.12513600196689367, -0.1702716052532196, -0.1697463821619749, 0.2500548753887415, 0.05805335799232125, 0.006203350727446377, -0.008477987721562386, 0.046214483212679625, -0.12116608116775751, -0.16202981118112803, 0.028380392701365054, -0.010400500614196062, -0.10598518047481775, -0.18179397098720074, -0.004890947690000758, 0.01592806586995721, -0.20192675665020943, -0.045400261180475354, 0.09765900066122413, 0.4987665116786957, 0.012733136769384146, -0.22114870138466358, -0.18597664404660463, -0.14087481854949147, -0.009968171245418489, 0.10340267419815063]"
1317,1317,"[-0.20336483232676983, 0.14137902297079563, 0.17284132167696953, -0.318806454539299, 0.13895940408110619, 0.24328738171607256, -0.01675712177529931, -0.07204447314143181, 0.08825737098231912, -0.008238206151872873, -0.08892630343325436, 0.0052249113796278834, 0.13651894021313637, -0.03702849498949945, -0.07645690767094493, -0.11883012019097805, 0.07933196146041155, -0.02461018692702055, 0.011160270078107715, -0.05917704472085461, -0.4402453079819679, -0.3918425068259239, -0.07728348206728697, 0.11369122564792633, -0.14629774540662766, -0.1861706767231226, -0.18997356668114662, 0.30184774473309517, 0.08537292201071978, 0.00740873436734546, -0.02612179610878229, 0.04525263700634241, -0.1256608311086893, -0.16644014231860638, 0.002667004009708762, -0.010707700566854328, -0.1341174803674221, -0.1916418857872486, 0.0030139987356960773, 0.037080313079059124, -0.22857963293790817, -0.06610347796231508, 0.10170380305498838, 0.5691660568118095, 0.02119382459204644, -0.22900645807385445, -0.18777644261717796, -0.1402071644552052, -0.01567382854409516, 0.12050054408609867]"
1318,1318,"[-0.18915390688925982, 0.1129833422601223, 0.09736214764416218, -0.2984746191650629, 0.09863779740408063, 0.2545749032869935, 0.020574580179527402, -0.09090273082256317, 0.11521653458476067, 0.0010566022247076035, -0.0779744554311037, 0.0022760978899896145, 0.15378949139267206, -0.04896081890910864, -0.08425525884376839, -0.12524851318448782, 0.0911618648096919, -0.03704289463348687, 0.03699361206963658, -0.048844385193660855, -0.4507342353463173, -0.35802654735744, -0.07768577989190817, 0.11155630135908723, -0.13215660816058517, -0.17610468668863177, -0.1797810196876526, 0.2746527213603258, 0.042212991043925285, -0.0003300510434200987, -0.022124883718788624, 0.05603589862585068, -0.1410034317523241, -0.16385557828471065, 0.032515025697648525, -0.017957728443434462, -0.110993267968297, -0.1702133994549513, -0.007621377531904727, 0.024759986205026507, -0.2526914793998003, -0.06377596780657768, 0.08776077767834067, 0.5343555882573128, -0.009024264523759484, -0.21072783693671227, -0.2209316473454237, -0.17233989899978042, -0.034848968498408794, 0.1205969750881195]"
1319,1319,"[-0.1846011495217681, 0.10810302570462227, 0.11771585792303085, -0.3086932338774204, 0.11587334796786308, 0.22194006200879812, -0.003038779366761446, -0.0798097641672939, 0.10091323079541326, -0.014982566703110933, -0.08477606251835823, -0.01018024660879746, 0.13214321294799447, -0.02438612119294703, -0.08354847878217697, -0.12166158203035593, 0.08719772868789732, -0.04655116889625788, 0.03661088552325964, -0.05712373415008187, -0.43506986275315285, -0.3546208254992962, -0.08414255734533072, 0.12051201844587922, -0.10806146822869778, -0.1721487957984209, -0.1984068602323532, 0.2760655116289854, 0.03941372688859701, 0.011150604230351746, -0.025564665906131268, 0.048243793193250895, -0.13606207072734833, -0.15857014618813992, 0.05919705412816256, -0.008660557679831982, -0.09797999449074268, -0.1801605587825179, 0.011899129021912813, 0.02812886144965887, -0.22998054325580597, -0.08201060816645622, 0.10606810357421637, 0.526511188596487, 0.0006705194246023893, -0.19240312278270721, -0.22940718755126, -0.15376561600714922, -0.027942111250013113, 0.11935055442154408]"
1320,1320,"[-0.22780813463032246, 0.12806683033704758, 0.12679221178404987, -0.3349180668592453, 0.12584242969751358, 0.27771867881529033, -0.005565091967582703, -0.09346155170351267, 0.11910578282549977, 0.023904680274426937, -0.07838119007647038, 0.005837452132254839, 0.19054722657892853, -0.05262014176696539, -0.04715189337730408, -0.1505222301930189, 0.06946434499695897, -0.030723609030246735, 0.04951455839909613, -0.05968481907621026, -0.44509509578347206, -0.37496138364076614, -0.059637388214468956, 0.13611838221549988, -0.1231922428123653, -0.16962380707263947, -0.23257914744317532, 0.26997458562254906, 0.10996441449970007, 0.008030944096390158, -0.030507420655339956, 0.0898414512630552, -0.12463087402284145, -0.16110350377857685, 0.04738008650019765, -0.07613946590572596, -0.14618969522416592, -0.19539901427924633, 0.0069595007807947695, 0.002728142775595188, -0.23625646717846394, -0.07683748891577125, 0.12200016342103481, 0.5742919817566872, 0.016299918468575925, -0.2575356066226959, -0.22706296667456627, -0.2137784417718649, -0.017387503990903497, 0.11424422636628151]"
1321,1321,"[-0.21786465495824814, 0.12734237872064114, 0.12415137910284102, -0.35523440688848495, 0.12829381227493286, 0.28246715757995844, -0.017073627561330795, -0.09386387557606213, 0.12628941982984543, 0.02275446243584156, -0.09330865368247032, 0.009203617926687002, 0.15489394962787628, -0.05765867471927777, -0.08325336594134569, -0.1484070047736168, 0.05568057158961892, -0.04691885854117572, 0.027493656612932682, -0.054068854078650475, -0.47807104885578156, -0.37716417014598846, -0.07671841839328408, 0.14013015292584896, -0.1359691796824336, -0.1990058720111847, -0.21220683120191097, 0.2952845022082329, 0.0724340914748609, 0.023479299619793892, -0.017680603079497814, 0.0856076953932643, -0.13287422992289066, -0.15338575467467308, 0.03263970464468002, -0.045136414002627134, -0.1179472142830491, -0.18155799619853497, 0.004378924495540559, 0.01918236119672656, -0.2448529191315174, -0.07193512003868818, 0.10648565366864204, 0.5729724392294884, 0.008876740466803312, -0.24220600351691246, -0.21639438904821873, -0.17497417842969298, -0.03455354715697467, 0.12880949024111032]"
1322,1322,"[-0.1958927446976304, 0.12439748179167509, 0.13588005863130093, -0.3118768837302923, 0.13819367066025734, 0.2747867754660547, -0.00911315530538559, -0.0737838662462309, 0.09816871862858534, -0.0039934865199029446, -0.07540161069482565, 0.01306799496524036, 0.15467308647930622, -0.04499191278591752, -0.054758288781158626, -0.12984320614486933, 0.09408239275217056, -0.002312220400199294, 0.021594307385385036, -0.06586179882287979, -0.4207984693348408, -0.3770793080329895, -0.06489510554820299, 0.11029495019465685, -0.12303427560254931, -0.1869804272428155, -0.17440824396908283, 0.2982188034802675, 0.08041179738938808, 0.007545423984993249, -0.03008937183767557, 0.055004492052830756, -0.13549874909222126, -0.16931462660431862, 0.007507541740778834, -0.029164062347263098, -0.13513284176588058, -0.17895098496228456, 0.00031177783966995776, 0.021569891134276986, -0.2181722167879343, -0.0650986322434619, 0.10320586757734418, 0.5397779420018196, 0.02668432821519673, -0.2540011331439018, -0.20054719597101212, -0.1478255596011877, -0.024888381827622652, 0.12002147734165192]"
1323,1323,"[-0.17857067566365004, 0.11293651460437104, 0.15067919623106718, -0.30715336464345455, 0.1388816898688674, 0.1985648311674595, -0.010145815555006266, -0.06639365991577506, 0.07403824757784605, 0.0032948250882327557, -0.08807289879769087, 0.02251580893062055, 0.13003787584602833, -0.019487986573949456, -0.057146457518683746, -0.13963954150676727, 0.07042615488171577, -0.007052119413856417, 0.013175426982343197, -0.05903448397293687, -0.38966651260852814, -0.36388683691620827, -0.07360044645611197, 0.10030776867642999, -0.13252914790064096, -0.18660644721239805, -0.19357943534851074, 0.2777209244668484, 0.09047613432630897, -0.01775403181090951, -0.015089563792571425, 0.06303988106083125, -0.12091627297922969, -0.16040739323943853, 0.0021401317790150642, -0.024612448061816394, -0.13075949298217893, -0.17381706461310387, 0.010017432272434235, 0.055985768674872816, -0.19567049387842417, -0.06904011336155236, 0.10373903531581163, 0.5296026691794395, 0.016311448242049664, -0.23747919872403145, -0.17164733540266752, -0.13889000192284584, -0.008652631659060717, 0.12277820846065879]"
1324,1324,"[-0.18268377240747213, 0.10430341027677059, 0.12632165476679802, -0.29795804247260094, 0.14439171645790339, 0.23926034179748967, 0.0006538457237184048, -0.06016337074106559, 0.08281061938032508, -0.007539333775639534, -0.0695671895518899, -0.025089719507377595, 0.13462534314021468, -0.031399622559547424, -0.06441550445742905, -0.12244174256920815, 0.07846457697451115, -0.01559630548581481, 0.016992410644888878, -0.06538621056824923, -0.41237644851207733, -0.37644865177571774, -0.071247483137995, 0.125761435367167, -0.12080023903399706, -0.1960129216313362, -0.17903871834278107, 0.26207827031612396, 0.043668453115969896, 0.007866669213399291, -0.004962053382769227, 0.028244802728295326, -0.12426123209297657, -0.15498559456318617, 0.047663153847679496, 0.004352050891611725, -0.09425044385716319, -0.1954771038144827, -0.003367261670064181, 0.03699825913645327, -0.20363553147763014, -0.06657788949087262, 0.1004089368507266, 0.5158663615584373, 0.007685483433306217, -0.21788460575044155, -0.1909028347581625, -0.11880447436124086, -0.017978237941861153, 0.09888720978051424]"
1325,1325,"[-0.21025301422923803, 0.11315018869936466, 0.1205798271112144, -0.32595777697861195, 0.11121833696961403, 0.23967605829238892, -0.0013196093204896897, -0.08714910270646214, 0.09832278918474913, 0.015430541359819472, -0.08027304708957672, 0.009202179207932204, 0.1445837039500475, -0.047551681054756045, -0.08362887008115649, -0.13329232297837734, 0.05783264827914536, -0.04800399555824697, 0.03970448742620647, -0.04818349611014128, -0.43481018021702766, -0.3540351614356041, -0.06227898318320513, 0.1329009784385562, -0.12458390835672617, -0.1769948909059167, -0.1931410040706396, 0.2664185557514429, 0.06528031174093485, 0.01817405433394015, -0.007256040815263987, 0.051099968142807484, -0.13507475145161152, -0.14478260278701782, 0.022014618385583162, -0.04892735928297043, -0.11637081624940038, -0.1598720345646143, -0.0017218687862623483, 0.021186296362429857, -0.23998156003654003, -0.052546060644090176, 0.09675823338329792, 0.5290827639400959, 0.008542083320207894, -0.21628996916115284, -0.21182627603411674, -0.16519517730921507, -0.022006259896443225, 0.1133666904643178]"
1326,1326,"[-0.1937493346631527, 0.1296042613685131, 0.12523106299340725, -0.29747542180120945, 0.1388550391420722, 0.2510935957543552, -0.00838759122416377, -0.07593018270563334, 0.10361023480072618, 0.0003276884090155363, -0.08177923923358321, -0.016630361787974834, 0.15092773595824838, -0.038468796061351895, -0.051677546463906765, -0.13374116830527782, 0.07522770902141929, -0.025316209997981787, 0.02515507093630731, -0.05919660616200417, -0.4171932451426983, -0.3686891309916973, -0.07572340639308095, 0.11043318267911673, -0.13642712030559778, -0.17064430564641953, -0.19150499999523163, 0.26502264849841595, 0.08260209206491709, 0.0014688419178128242, -0.032552437856793404, 0.06819086475297809, -0.1064851307310164, -0.14203324355185032, 0.04529260122217238, -0.016451051575131714, -0.11510926019400358, -0.1909694131463766, -0.003599785966798663, 0.015131844440475106, -0.20826035365462303, -0.06675777188502252, 0.10258099623024464, 0.553951371461153, -0.0006124963983893394, -0.2401875276118517, -0.2061433158814907, -0.16466314252465963, -0.014468133565969765, 0.09485923824831843]"
1327,1327,"[-0.17670329473912716, 0.11391089763492346, 0.14442273322492838, -0.2842550687491894, 0.12773216981440783, 0.23148241871967912, -0.013634967152029276, -0.04444137215614319, 0.10462856898084283, -0.007441599387675524, -0.06085927691310644, -0.005777252445113845, 0.13655117619782686, -0.013389964122325182, -0.06604774482548237, -0.11248341156169772, 0.0938279228284955, 0.0012158199679106474, 0.014874202955979854, -0.0768676158040762, -0.39754632115364075, -0.3586524184793234, -0.049293678253889084, 0.11101911310106516, -0.12534818425774574, -0.19755549170076847, -0.1585690677165985, 0.2738429754972458, 0.03010229067876935, -0.003499826183542609, -0.02064097230322659, 0.040805330500006676, -0.13119209371507168, -0.17382750753313303, 0.03402479365468025, -0.0015470223734155297, -0.08732245722785592, -0.1897427011281252, -0.004097179276868701, 0.02343134582042694, -0.21688882634043694, -0.07282925629988313, 0.08229235839098692, 0.49253901466727257, 0.01608374377246946, -0.21188896894454956, -0.18798940163105726, -0.12667521415278316, -0.011195200844667852, 0.09622001880779862]"
1328,1328,"[-0.18624776788055897, 0.11884721089154482, 0.1607172405347228, -0.2983457762748003, 0.14631593972444534, 0.2571275047957897, -0.01752236019819975, -0.04236915847286582, 0.09364232327789068, -0.01378775923512876, -0.08201993070542812, 0.0054590066720265895, 0.14840329400612973, -0.027088832342997193, -0.05421865778043866, -0.13903531339019537, 0.08511435240507126, 0.003541321726515889, 0.003678659995784983, -0.08433432877063751, -0.4208257608115673, -0.3786923736333847, -0.04572625691071153, 0.12367600947618484, -0.13670881278812885, -0.2160231014713645, -0.17405820079147816, 0.30650318041443825, 0.050104829017072916, 0.015560817162622698, -0.019128580577671528, 0.030424764729104936, -0.15248297899961472, -0.17763933539390564, 0.021297829458490014, -0.017676463874522597, -0.10154446586966515, -0.19870397355407476, 0.013203724985942245, 0.033162315376102924, -0.21156405471265316, -0.08261232543736696, 0.08810866437852383, 0.5281242690980434, 0.02898096211720258, -0.22785556875169277, -0.1888906378298998, -0.11536155547946692, -0.002592423203168437, 0.11666862480342388]"
1329,1329,"[-0.18690095283091068, 0.1304362490773201, 0.13088294211775064, -0.30189025215804577, 0.15785714238882065, 0.260983775369823, -0.011415998451411724, -0.0804444020614028, 0.07907130476087332, 0.007990671787410975, -0.08626295253634453, 0.006710283225402236, 0.15783861186355352, -0.02522139810025692, -0.03857531666290015, -0.12729390617460012, 0.07105421368032694, -0.0561592411249876, 0.023339647334069014, -0.04043907439336181, -0.41851335763931274, -0.34824471175670624, -0.07425321359187365, 0.11860673688352108, -0.11134784575551748, -0.17897270806133747, -0.20155144669115543, 0.2684437669813633, 0.11957965232431889, 0.0015406203601742163, -0.023111874354071915, 0.06603042455390096, -0.10918169608339667, -0.1599467284977436, 0.049981045071035624, -0.056747748982161283, -0.1398421125486493, -0.18392856419086456, 0.020642994670197368, 0.02976002707146108, -0.19860156252980232, -0.06703293463215232, 0.1329621421173215, 0.5628020875155926, 0.020773798343725502, -0.23491681553423405, -0.19501198176294565, -0.16586861375253648, -0.009979909737012349, 0.12238844763487577]"
1330,1330,"[-0.1855806903913617, 0.11936927400529385, 0.12235098611563444, -0.2911890894174576, 0.11832581181079149, 0.2234432641416788, 0.012305257027037442, -0.0701692565344274, 0.06305864080786705, -0.0009795967489480972, -0.09808833803981543, 0.008022467605769634, 0.14893217105418444, -0.03748789057135582, -0.050874846056103706, -0.11008642334491014, 0.06164944148622453, -0.06636358378455043, 0.01917165404302068, -0.03602432459592819, -0.39127618446946144, -0.3357249051332474, -0.07321916986256838, 0.12205672077834606, -0.11215884704142809, -0.17157299257814884, -0.2093332428485155, 0.25554968789219856, 0.09870164841413498, 0.0052701881068060175, -0.03471568692475557, 0.05580159369856119, -0.10892583709210157, -0.1519547700881958, 0.02199006115552038, -0.05472034379999968, -0.13032485591247678, -0.1706149447709322, 0.012616300722584128, 0.04681503213942051, -0.20544391497969627, -0.0788850486278534, 0.11447083577513695, 0.5288216136395931, 0.016043605108279735, -0.22184108570218086, -0.20980585552752018, -0.17192926444113255, -0.005417893931735307, 0.12579288985580206]"
1331,1331,"[-0.19951815903186798, 0.11607240792363882, 0.12935815332457423, -0.2921811677515507, 0.13054860942065716, 0.23908530082553625, 0.005179816507734358, -0.0712818733882159, 0.09280610433779657, -0.0022492636926472187, -0.05811695381999016, 0.00600156607106328, 0.15951270470395684, -0.036232369544450194, -0.06650436390191317, -0.11516884621232748, 0.06044653453864157, -0.026471945457160473, 0.031946258270181715, -0.04194829100742936, -0.4114102143794298, -0.3332556113600731, -0.06382713234052062, 0.11071949172765017, -0.11145652225241065, -0.166152099147439, -0.20008238404989243, 0.258324908092618, 0.07054947945289314, -0.004095180076546967, -0.024282058235257864, 0.05424308989313431, -0.11792890075594187, -0.15626132301986217, -0.0010456792078912258, -0.03629608778283, -0.11546882428228855, -0.16666158847510815, -0.01279733655974269, 0.02403563680127263, -0.21764805726706982, -0.057794285006821156, 0.10010800044983625, 0.5217737033963203, 0.004210294340737164, -0.2212591301649809, -0.19905840791761875, -0.17536412365734577, -0.012938619445776567, 0.1154150147922337]"
1332,1332,"[-0.2283473126590252, 0.1479668254032731, 0.1589410901069641, -0.34358102083206177, 0.13543202728033066, 0.27611927362158895, -0.01617436856031418, -0.08936250675469637, 0.10282311402261257, -0.003017337992787361, -0.0997386034578085, 0.008749507716856897, 0.15828166157007217, -0.04575454303994775, -0.062280836049467325, -0.14212284609675407, 0.08109095320105553, -0.0222492903994862, 0.03806539066135883, -0.08153673820197582, -0.46594666317105293, -0.40909920632839203, -0.08000372489914298, 0.1349188070744276, -0.1379067488014698, -0.1946114767342806, -0.2268078699707985, 0.30663366988301277, 0.08182431943714619, 0.014945406670449302, -0.05097721889615059, 0.05920434556901455, -0.13964994437992573, -0.165076507255435, 0.03907668683677912, -0.027859236346557736, -0.11670056637376547, -0.20400067791342735, -0.0013234770740382373, 0.03791943471878767, -0.2488137036561966, -0.08335989527404308, 0.10864419583231211, 0.6013887971639633, -0.0035322154872119427, -0.2686064578592777, -0.23399006202816963, -0.17540137376636267, -0.00650411332026124, 0.14084285870194435]"
1333,1333,"[-0.19203409738838673, 0.1289785047993064, 0.13303268747404218, -0.3004346676170826, 0.13181212078779936, 0.22283655578212347, -0.0317752156406641, -0.06865217024460435, 0.0887104170396924, 0.014240660704672337, -0.0906431907787919, 0.014895240601617843, 0.14053698536008596, -0.024215614015702158, -0.050097753293812275, -0.11204000050202012, 0.07036669552326202, -0.033792061352869496, 0.029857641959097236, -0.05267214123159647, -0.3908681608736515, -0.3470989540219307, -0.0659495797008276, 0.11932641640305519, -0.1141148004680872, -0.16996908746659756, -0.20279009826481342, 0.2720743753015995, 0.08666717540472746, -0.006030818680301309, -0.03423242550343275, 0.062072834465652704, -0.1132062217220664, -0.13847859390079975, 0.0223006927408278, -0.04724744928535074, -0.11816161032766104, -0.16179561987519264, -0.008711234666407108, 0.051469330210238695, -0.20648996159434319, -0.07215765491127968, 0.1149842506274581, 0.5160851925611496, 0.015254337165970355, -0.23554659634828568, -0.19138295017182827, -0.15321530774235725, -0.012181757425423712, 0.12211481854319572]"
